"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 11:12:17 UTC 2026","Mon Apr 20 11:12:17 UTC 2026","30","tests.grade","test_get_grades","TestGetGrades","","","test_get_grades",""
"broken","Mon Apr 20 11:12:21 UTC 2026","Mon Apr 20 11:12:21 UTC 2026","49","tests.student","test_get_student","TestGetStudent","","","test_get_student",""
"passed","Mon Apr 20 11:12:22 UTC 2026","Mon Apr 20 11:12:22 UTC 2026","0","tests.student","test_student_create","TestStudent","","","test_student_create",""
"failed","Mon Apr 20 11:12:23 UTC 2026","Mon Apr 20 11:12:23 UTC 2026","11","tests.teacher","test_teacher_create","TestTeacherCreate","","","test_teacher_create",""
"passed","Mon Apr 20 11:12:19 UTC 2026","Mon Apr 20 11:12:19 UTC 2026","102","tests.grade","test_stats_correct_for_student","TestStatsCorrectForStudent","","","test_stats_correct_for_student",""
"passed","Mon Apr 20 11:12:18 UTC 2026","Mon Apr 20 11:12:18 UTC 2026","55","tests.grade","test_grades_creat","TestGradesCreat","","","test_grades_creat",""
"passed","Mon Apr 20 11:12:21 UTC 2026","Mon Apr 20 11:12:21 UTC 2026","52","tests.student","test_delete_student","TestDeleteStudent","","","test_delete_student",""
"failed","Mon Apr 20 11:12:16 UTC 2026","Mon Apr 20 11:12:16 UTC 2026","10","tests.grade","test_401_no_token","TestGradesStatsAuth","","","test_grades_stats_auth",""
"broken","Mon Apr 20 11:12:20 UTC 2026","Mon Apr 20 11:12:20 UTC 2026","59","tests.group","test_get_groups","TestGetGroups","","","test_get_groups",""
"failed","Mon Apr 20 11:12:20 UTC 2026","Mon Apr 20 11:12:20 UTC 2026","3","tests.group","test_group_contract","TestGroupContract","","","test_create_group_anonym",""
"passed","Mon Apr 20 11:12:17 UTC 2026","Mon Apr 20 11:12:17 UTC 2026","12","tests.grade","test_get_grades_stats","TestGetGradesStats","","","test_get_grades_stats",""
